lat,lon
-34.249801,-58.880148
-34.260424,-58.885942
-34.273622,-58.864160
-34.276841,-58.884118
-34.277163,-58.879611
-34.270832,-58.877358
-34.270188,-58.873066
-34.263643,-58.874139
-34.262892,-58.885620
-34.271261,-58.891521
-34.275231,-58.893989
-34.267506,-58.898603
-34.262892,-58.898067
-34.257634,-58.901285
-34.253986,-58.903753
-34.250123,-58.905041
-34.247119,-58.896028
-34.241647,-58.897315
-34.246475,-58.885942
-34.253879,-58.891199
-34.260209,-58.879075
-34.264931,-58.865555
-34.258707,-58.869847
-34.240037,-58.879826
-34.241539,-58.891629
-34.235745,-58.892058
-34.235262,-58.886210
-34.230622,-58.883635
-34.230032,-58.888088
-34.230032,-58.892809
-34.227081,-58.895008
-34.223916,-58.892970
-34.225310,-58.890448
-34.226008,-58.883635
-34.221501,-58.886264
-34.216834,-58.891253
-34.217317,-58.893614
-34.221488,-58.882723
-34.214406,-58.882508
-34.212046,-58.892809
-34.214835,-58.898388
-34.215050,-58.888517
-34.247454,-58.862980
-34.253463,-58.868559
-34.243591,-58.872851
-34.235008,-58.872637
-34.222346,-58.878002
-34.228784,-58.863409
-34.237583,-58.857615
-34.249386,-58.856756
-34.257970,-58.858259
-34.268699,-58.857400
-34.275996,-58.861048
-34.282863,-58.871564
-34.287584,-58.884225
-34.275352,-58.872422
-34.293807,-58.870276
-34.292091,-58.880148
-34.287584,-58.874568
-34.286726,-58.860190
-34.282648,-58.858688
-34.273850,-58.853752
-34.260330,-58.850533
-34.249386,-58.847099
-34.236724,-58.849245
-34.228140,-58.854396
-34.221273,-58.861477
-34.215908,-58.867915
-34.215050,-58.875426
-34.222132,-58.869418
-34.236939,-58.868559
-34.256467,-58.876499
-34.251961,-58.884440
-34.209041,-58.886371
