lat,lon
-34.249801,-58.880148
-34.260424,-58.885942
-34.273622,-58.864160
-34.276841,-58.884118
-34.277163,-58.879611
-34.270832,-58.877358
-34.270188,-58.873066
-34.263643,-58.874139
-34.262892,-58.885620
-34.271261,-58.891521
-34.275231,-58.893989
-34.267506,-58.898603
-34.262892,-58.898067
-34.257634,-58.901285
-34.253986,-58.903753
-34.250123,-58.905041
-34.247119,-58.896028
-34.241647,-58.897315
-34.246475,-58.885942
-34.253879,-58.891199
-34.260209,-58.879075
-34.264931,-58.865555
-34.258707,-58.869847
-34.240037,-58.879826
-34.241539,-58.891629
-34.235745,-58.892058
-34.235262,-58.886210
-34.230622,-58.883635
-34.230032,-58.888088
